time,GB_Pos,GB_Neg,GB_Neu,GB_Total,US_Pos,US_Neg,US_Neu,US_Total,JP_Pos,JP_Neg,JP_Neu,JP_Total
2019-01-07 17:15:10.225000,1,0,1,2,2,1,3,6,0,0,0,0
2019-01-07 17:15:15.804000,2,0,1,3,2,1,3,6,0,0,1,1
2019-01-07 17:15:21.286000,2,1,3,6,4,1,3,8,0,0,1,1
2019-01-07 17:15:27.116000,1,0,1,2,3,0,6,9,0,0,1,1
2019-01-07 17:15:32.142000,0,0,3,3,2,0,2,4,0,0,1,1
2019-01-07 17:15:37.272000,1,1,4,6,3,0,2,5,0,0,0,0
2019-01-07 17:15:42.767000,1,3,2,6,1,0,2,3,1,0,4,5
2019-01-07 17:15:47.908000,2,0,3,5,5,3,6,14,0,0,1,1
2019-01-07 17:15:52.917000,2,2,3,7,4,1,5,10,0,0,2,2
2019-01-07 17:15:58.232000,0,2,0,2,1,2,5,8,0,0,3,3
2019-01-07 17:16:03.854000,0,2,2,4,3,1,5,9,0,0,2,2
2019-01-07 17:16:08.861000,1,1,4,6,2,3,3,8,0,0,2,2
2019-01-07 17:16:13.959000,2,0,0,2,1,0,4,5,0,0,3,3
2019-01-07 17:16:19.766000,1,0,3,4,6,0,6,12,0,0,0,0
2019-01-07 17:16:24.878000,0,2,0,2,1,0,5,6,0,0,0,0
2019-01-07 17:16:30.226000,0,0,4,4,4,0,1,5,0,0,0,0
2019-01-07 17:16:35.398000,2,0,1,3,2,2,3,7,0,0,3,3
2019-01-07 17:16:41.124000,2,1,2,5,1,3,4,8,0,0,0,0
2019-01-07 17:16:46.353000,0,0,1,1,1,1,3,5,0,0,1,1
2019-01-07 17:16:51.526000,3,1,0,4,4,2,1,7,1,0,2,3
2019-01-07 17:16:57.072000,2,0,3,5,1,1,4,6,0,0,1,1
2019-01-07 17:17:02.412000,3,0,0,3,2,0,4,6,0,0,1,1
2019-01-07 17:17:07.420000,2,0,0,2,3,2,4,9,0,0,1,1
2019-01-07 17:17:12.499000,0,1,2,3,3,0,2,5,0,0,0,0
2019-01-07 17:17:17.753000,1,0,0,1,1,0,4,5,0,0,1,1
2019-01-07 17:17:22.765000,1,1,1,3,2,1,6,9,0,0,0,0
2019-01-07 17:17:30.533000,0,0,2,2,3,1,6,10,0,0,5,5
2019-01-07 17:17:36.132000,1,0,1,2,4,0,3,7,1,0,3,4
2019-01-07 17:17:41.876000,0,1,0,1,3,0,0,3,0,0,1,1
2019-01-07 17:17:47.030000,1,0,3,4,2,1,8,11,0,0,4,4
2019-01-07 17:17:52.523000,1,0,2,3,2,3,4,9,0,0,1,1
2019-01-07 17:17:57.819000,4,0,2,6,2,1,3,6,0,0,2,2
2019-01-07 17:18:02.948000,0,0,1,1,3,0,4,7,1,0,0,1
2019-01-07 17:18:08.033000,2,0,3,5,4,1,2,7,0,0,0,0
2019-01-07 17:18:13.639000,2,2,3,7,4,0,3,7,0,0,2,2
2019-01-07 17:18:18.865000,2,0,0,2,2,0,2,4,0,0,1,1
2019-01-07 17:18:24.307000,1,2,0,3,5,1,2,8,0,0,1,1
